Date,Open,High,Low,Settle,Volume,Open Interest
2015-07-10,2044.75,2074.75,2044.75,2069.0,1572505.0,2667051.0
2015-07-09,2039.75,2068.0,2038.25,2041.25,1980885.0,2729842.0
2015-07-08,2073.0,2073.25,2036.25,2039.25,2388595.0,2658021.0
2015-07-07,2067.75,2078.0,2035.0,2073.75,2529599.0,2657211.0
2015-07-06,2037.25,2071.75,2034.25,2064.5,1857384.0,2625405.0
2015-07-02,2071.5,2079.0,2062.25,2068.75,1247290.0,2624007.0
2015-07-01,2054.5,2077.5,2054.5,2071.0,1493202.0,2615790.0
2015-06-30,2054.5,2069.0,2046.75,2054.5,2355919.0,2614259.0
2015-06-29,2064.0,2083.25,2047.25,2050.5,2287339.0,2526649.0
2015-06-26,2094.75,2100.75,2086.25,2095.75,1318744.0,2534335.0
2015-06-25,2101.25,2112.75,2092.0,2094.0,1213961.0,2536478.0
2015-06-24,2117.5,2118.5,2099.0,2099.5,1153248.0,2554179.0
2015-06-23,2114.75,2120.5,2111.25,2116.5,835219.0,2563433.0
2015-06-22,2105.75,2122.0,2103.5,2112.75,1095590.0,2537546.0
2015-06-19,2123.25,2126.5,2118.25,2117.11,46686.0,685105.0
2015-06-18,2097.25,2127.5,2090.5,2123.0,430371.0,746829.0
2015-06-17,2097.75,2107.0,2087.0,2097.5,549464.0,947257.0
2015-06-16,2083.5,2098.25,2070.5,2097.5,790233.0,1400590.0
2015-06-15,2087.0,2089.75,2071.25,2084.0,1077154.0,1906031.0
2015-06-12,2109.0,2109.25,2090.25,2093.0,1130566.0,2313187.0
2015-06-11,2106.0,2114.75,2103.25,2109.25,1480391.0,2589953.0
2015-06-10,2080.75,2108.0,2080.0,2107.0,1664080.0,2747909.0
2015-06-09,2080.0,2084.75,2068.75,2080.0,1446234.0,2780512.0
2015-06-08,2092.0,2093.25,2076.25,2078.25,1290580.0,2777034.0
2015-06-05,2098.75,2102.75,2083.5,2092.25,1459933.0,2785151.0
2015-06-04,2116.25,2116.5,2091.25,2099.0,1716475.0,2751605.0
2015-06-03,2107.0,2120.75,2106.75,2116.0,1310989.0,2760870.0
2015-06-02,2111.0,2116.0,2094.0,2106.75,1442673.0,2763714.0
2015-06-01,2107.0,2117.75,2100.25,2109.25,1337694.0,2766529.0
2015-05-29,2121.75,2122.75,2102.25,2106.0,1689212.0,2746809.0
2015-05-28,2120.0,2122.75,2110.5,2121.75,1074890.0,2737526.0
2015-05-27,2105.75,2124.25,2101.25,2121.0,1288328.0,2723908.0
2015-05-26,2124.5,2127.0,2096.0,2105.0,1585923.0,2720027.0
2015-05-22,2129.25,2131.0,2122.75,2124.5,765874.0,2724877.0
